account_key,cancel_date,days_to_cancel,join_date,cancel_year,cancel_month,cancel_day,join_year,join_month,join_day
3.0,2015-03-10,120,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2015-04-16,99,2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0
15.0,2015-08-11,211,2015-01-12,0.0,0.0,0.0,0.0,0.0,0.0
18.0,2015-02-17,99,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
19.0,2015-07-13,98,2015-04-06,0.0,0.0,0.0,0.0,0.0,0.0
24.0,2015-06-10,189,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
25.0,2015-02-18,99,2014-11-11,0.0,0.0,0.0,0.0,0.0,0.0
31.0,2015-03-10,120,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
34.0,2015-02-03,79,2014-11-16,0.0,0.0,0.0,0.0,0.0,0.0
42.0,2015-05-11,68,2015-03-04,0.0,0.0,0.0,0.0,0.0,0.0
43.0,2015-03-30,112,2014-12-08,0.0,0.0,0.0,0.0,0.0,0.0
44.0,2015-03-10,120,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
45.0,2015-03-10,120,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
51.0,2015-06-17,219,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
52.0,2015-03-14,97,2014-12-07,0.0,0.0,0.0,0.0,0.0,0.0
53.0,2014-12-21,37,2014-11-14,0.0,0.0,0.0,0.0,0.0,0.0
57.0,2015-02-18,99,2014-11-11,0.0,0.0,0.0,0.0,0.0,0.0
60.0,2015-04-01,142,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
62.0,2015-07-15,219,2014-12-08,0.0,0.0,0.0,0.0,0.0,0.0
64.0,2015-04-13,128,2014-12-06,0.0,0.0,0.0,0.0,0.0,0.0
65.0,2015-02-23,99,2014-11-16,0.0,0.0,0.0,0.0,0.0,0.0
67.0,2015-03-14,66,2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0
69.0,2015-05-24,188,2014-11-17,0.0,0.0,0.0,0.0,0.0,0.0
71.0,2015-02-18,42,2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0
72.0,2015-05-17,188,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
74.0,2015-04-23,159,2014-11-15,0.0,0.0,0.0,0.0,0.0,0.0
76.0,2015-01-15,62,2014-11-14,0.0,0.0,0.0,0.0,0.0,0.0
78.0,2015-04-01,114,2014-12-08,0.0,0.0,0.0,0.0,0.0,0.0
79.0,2015-07-16,219,2014-12-09,0.0,0.0,0.0,0.0,0.0,0.0
85.0,2015-03-27,136,2014-11-11,0.0,0.0,0.0,0.0,0.0,0.0
88.0,2015-04-01,137,2014-11-15,0.0,0.0,0.0,0.0,0.0,0.0
90.0,2015-04-01,142,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
91.0,2015-03-10,120,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
92.0,2015-07-19,249,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
93.0,2015-04-14,97,2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0
97.0,2015-04-08,62,2015-02-05,0.0,0.0,0.0,0.0,0.0,0.0
98.0,2015-07-09,98,2015-04-02,0.0,0.0,0.0,0.0,0.0,0.0
99.0,2015-08-20,219,2015-01-13,0.0,0.0,0.0,0.0,0.0,0.0
101.0,2015-04-20,159,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
105.0,2015-05-14,37,2015-04-07,0.0,0.0,0.0,0.0,0.0,0.0
106.0,2015-03-10,119,2014-11-11,0.0,0.0,0.0,0.0,0.0,0.0
108.0,2015-05-14,127,2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0
110.0,2015-05-10,158,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
111.0,2015-03-01,84,2014-12-07,0.0,0.0,0.0,0.0,0.0,0.0
113.0,2015-07-11,129,2015-03-04,0.0,0.0,0.0,0.0,0.0,0.0
119.0,2015-04-08,126,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
123.0,2015-04-17,158,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
130.0,2015-06-17,219,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
132.0,2015-06-11,99,2015-03-04,0.0,0.0,0.0,0.0,0.0,0.0
134.0,2015-06-12,127,2015-02-05,0.0,0.0,0.0,0.0,0.0,0.0
136.0,2015-04-08,62,2015-02-05,0.0,0.0,0.0,0.0,0.0,0.0
138.0,2015-04-08,57,2015-02-10,0.0,0.0,0.0,0.0,0.0,0.0
140.0,2015-01-14,65,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
141.0,2015-05-14,68,2015-03-07,0.0,0.0,0.0,0.0,0.0,0.0
142.0,2015-08-03,203,2015-01-12,0.0,0.0,0.0,0.0,0.0,0.0
143.0,2015-06-16,127,2015-02-09,0.0,0.0,0.0,0.0,0.0,0.0
147.0,2015-02-03,62,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
148.0,2015-04-18,158,2014-11-11,0.0,0.0,0.0,0.0,0.0,0.0
150.0,2015-05-17,188,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
151.0,2015-04-02,81,2015-01-11,0.0,0.0,0.0,0.0,0.0,0.0
153.0,2015-07-14,219,2014-12-07,0.0,0.0,0.0,0.0,0.0,0.0
157.0,2015-07-17,249,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
159.0,2015-02-12,65,2014-12-09,0.0,0.0,0.0,0.0,0.0,0.0
160.0,2015-02-18,99,2014-11-11,0.0,0.0,0.0,0.0,0.0,0.0
161.0,2015-05-19,188,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
165.0,2015-03-17,127,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
168.0,2015-04-08,86,2015-01-12,0.0,0.0,0.0,0.0,0.0,0.0
169.0,2015-08-12,246,2014-12-09,0.0,0.0,0.0,0.0,0.0,0.0
170.0,2015-08-16,219,2015-01-09,0.0,0.0,0.0,0.0,0.0,0.0
171.0,2015-06-15,99,2015-03-08,0.0,0.0,0.0,0.0,0.0,0.0
174.0,2015-03-10,97,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
178.0,2015-05-09,173,2014-11-17,0.0,0.0,0.0,0.0,0.0,0.0
179.0,2015-03-17,127,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
180.0,2015-04-08,86,2015-01-12,0.0,0.0,0.0,0.0,0.0,0.0
181.0,2015-03-10,117,2014-11-13,0.0,0.0,0.0,0.0,0.0,0.0
185.0,2015-04-01,140,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
187.0,2015-04-19,158,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
190.0,2015-04-08,56,2015-02-11,0.0,0.0,0.0,0.0,0.0,0.0
191.0,2015-03-10,114,2014-11-16,0.0,0.0,0.0,0.0,0.0,0.0
193.0,2015-04-01,114,2014-12-08,0.0,0.0,0.0,0.0,0.0,0.0
197.0,2015-06-14,158,2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0
203.0,2015-07-19,246,2014-11-15,0.0,0.0,0.0,0.0,0.0,0.0
208.0,2015-06-15,99,2015-03-08,0.0,0.0,0.0,0.0,0.0,0.0
217.0,2015-03-10,116,2014-11-14,0.0,0.0,0.0,0.0,0.0,0.0
220.0,2015-05-29,52,2015-04-07,0.0,0.0,0.0,0.0,0.0,0.0
221.0,2015-02-10,69,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
227.0,2014-12-19,37,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
229.0,2015-06-14,158,2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0
243.0,2015-04-15,150,2014-11-16,0.0,0.0,0.0,0.0,0.0,0.0
251.0,2015-04-08,61,2015-02-06,0.0,0.0,0.0,0.0,0.0,0.0
253.0,2015-01-14,59,2014-11-16,0.0,0.0,0.0,0.0,0.0,0.0
256.0,2015-06-10,189,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
258.0,2015-07-17,249,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
259.0,2015-07-14,131,2015-03-05,0.0,0.0,0.0,0.0,0.0,0.0
261.0,2015-02-23,99,2014-11-16,0.0,0.0,0.0,0.0,0.0,0.0
263.0,2015-07-08,179,2015-01-10,0.0,0.0,0.0,0.0,0.0,0.0
264.0,2015-02-25,84,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
265.0,2015-01-11,38,2014-12-04,0.0,0.0,0.0,0.0,0.0,0.0
268.0,2015-08-10,273,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
270.0,2015-05-31,142,2015-01-09,0.0,0.0,0.0,0.0,0.0,0.0
272.0,2015-05-15,127,2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0
279.0,2015-04-08,62,2015-02-05,0.0,0.0,0.0,0.0,0.0,0.0
284.0,2015-04-08,58,2015-02-09,0.0,0.0,0.0,0.0,0.0,0.0
285.0,2015-03-10,62,2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0
289.0,2015-07-14,98,2015-04-07,0.0,0.0,0.0,0.0,0.0,0.0
293.0,2015-08-17,99,2015-05-10,0.0,0.0,0.0,0.0,0.0,0.0
306.0,2015-04-08,59,2015-02-08,0.0,0.0,0.0,0.0,0.0,0.0
315.0,2015-05-17,188,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
316.0,2015-06-13,189,2014-12-06,0.0,0.0,0.0,0.0,0.0,0.0
321.0,2015-07-07,234,2014-11-15,0.0,0.0,0.0,0.0,0.0,0.0
322.0,2015-03-10,120,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
323.0,2015-04-17,158,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
329.0,2015-04-08,149,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
334.0,2015-03-10,114,2014-11-16,0.0,0.0,0.0,0.0,0.0,0.0
335.0,2015-05-19,188,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
338.0,2015-02-22,99,2014-11-15,0.0,0.0,0.0,0.0,0.0,0.0
339.0,2015-06-17,219,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
343.0,2015-03-14,97,2014-12-07,0.0,0.0,0.0,0.0,0.0,0.0
347.0,2015-03-14,97,2014-12-07,0.0,0.0,0.0,0.0,0.0,0.0
348.0,2015-02-27,22,2015-02-05,0.0,0.0,0.0,0.0,0.0,0.0
361.0,2015-06-20,38,2015-05-13,0.0,0.0,0.0,0.0,0.0,0.0
362.0,2015-04-16,97,2015-01-09,0.0,0.0,0.0,0.0,0.0,0.0
366.0,2015-04-17,158,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
367.0,2015-04-02,142,2014-11-11,0.0,0.0,0.0,0.0,0.0,0.0
378.0,2015-04-17,158,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
386.0,2015-06-13,151,2015-01-13,0.0,0.0,0.0,0.0,0.0,0.0
388.0,2015-02-03,57,2014-12-08,0.0,0.0,0.0,0.0,0.0,0.0
394.0,2015-04-17,158,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
397.0,2015-04-01,118,2014-12-04,0.0,0.0,0.0,0.0,0.0,0.0
402.0,2015-03-10,57,2015-01-12,0.0,0.0,0.0,0.0,0.0,0.0
404.0,2015-08-17,132,2015-04-07,0.0,0.0,0.0,0.0,0.0,0.0
407.0,2015-08-13,99,2015-05-06,0.0,0.0,0.0,0.0,0.0,0.0
408.0,2015-04-17,158,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
410.0,2015-08-19,99,2015-05-12,0.0,0.0,0.0,0.0,0.0,0.0
411.0,2015-06-15,189,2014-12-08,0.0,0.0,0.0,0.0,0.0,0.0
412.0,2015-04-01,142,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
413.0,2015-05-13,96,2015-02-06,0.0,0.0,0.0,0.0,0.0,0.0
415.0,2015-03-10,114,2014-11-16,0.0,0.0,0.0,0.0,0.0,0.0
416.0,2015-07-15,154,2015-02-11,0.0,0.0,0.0,0.0,0.0,0.0
418.0,2015-07-18,188,2015-01-11,0.0,0.0,0.0,0.0,0.0,0.0
419.0,2015-08-08,264,2014-11-17,0.0,0.0,0.0,0.0,0.0,0.0
423.0,2015-04-08,58,2015-02-09,0.0,0.0,0.0,0.0,0.0,0.0
426.0,2015-08-14,135,2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0
427.0,2015-06-16,158,2015-01-09,0.0,0.0,0.0,0.0,0.0,0.0
429.0,2015-06-17,219,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
431.0,2015-03-17,127,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
434.0,2015-06-03,142,2015-01-12,0.0,0.0,0.0,0.0,0.0,0.0
439.0,2015-03-10,120,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
440.0,2015-02-18,99,2014-11-11,0.0,0.0,0.0,0.0,0.0,0.0
441.0,2015-06-19,219,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
442.0,2015-04-27,110,2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0
444.0,2015-04-08,125,2014-12-04,0.0,0.0,0.0,0.0,0.0,0.0
447.0,2015-06-04,41,2015-04-24,0.0,0.0,0.0,0.0,0.0,0.0
458.0,2015-04-06,147,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
460.0,2015-05-05,118,2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0
465.0,2015-08-12,188,2015-02-05,0.0,0.0,0.0,0.0,0.0,0.0
467.0,2015-07-02,173,2015-01-10,0.0,0.0,0.0,0.0,0.0,0.0
473.0,2015-04-15,128,2014-12-08,0.0,0.0,0.0,0.0,0.0,0.0
474.0,2015-03-16,97,2014-12-09,0.0,0.0,0.0,0.0,0.0,0.0
477.0,2015-07-11,129,2015-03-04,0.0,0.0,0.0,0.0,0.0,0.0
480.0,2015-04-01,142,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
483.0,2015-04-20,161,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
499.0,2015-05-13,177,2014-11-17,0.0,0.0,0.0,0.0,0.0,0.0
500.0,2015-02-03,83,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
504.0,2015-06-17,219,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
505.0,2015-05-14,68,2015-03-07,0.0,0.0,0.0,0.0,0.0,0.0
507.0,2015-03-10,60,2015-01-09,0.0,0.0,0.0,0.0,0.0,0.0
512.0,2015-03-17,127,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
514.0,2015-06-11,189,2014-12-04,0.0,0.0,0.0,0.0,0.0,0.0
520.0,2015-03-17,127,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
521.0,2015-07-16,157,2015-02-09,0.0,0.0,0.0,0.0,0.0,0.0
523.0,2015-03-10,97,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
524.0,2015-02-03,59,2014-12-06,0.0,0.0,0.0,0.0,0.0,0.0
525.0,2015-07-17,249,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
528.0,2015-08-10,129,2015-04-03,0.0,0.0,0.0,0.0,0.0,0.0
529.0,2015-02-03,57,2014-12-08,0.0,0.0,0.0,0.0,0.0,0.0
532.0,2015-06-19,158,2015-01-12,0.0,0.0,0.0,0.0,0.0,0.0
534.0,2015-04-19,97,2015-01-12,0.0,0.0,0.0,0.0,0.0,0.0
541.0,2015-06-19,219,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
544.0,2015-05-17,188,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
547.0,2015-08-16,250,2014-12-09,0.0,0.0,0.0,0.0,0.0,0.0
549.0,2015-06-10,189,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
550.0,2015-07-04,236,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
557.0,2015-03-10,92,2014-12-08,0.0,0.0,0.0,0.0,0.0,0.0
558.0,2015-04-01,119,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
563.0,2015-07-10,219,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
564.0,2015-04-08,59,2015-02-08,0.0,0.0,0.0,0.0,0.0,0.0
569.0,2015-08-09,68,2015-06-02,0.0,0.0,0.0,0.0,0.0,0.0
571.0,2015-04-01,114,2014-12-08,0.0,0.0,0.0,0.0,0.0,0.0
576.0,2015-02-17,99,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
577.0,2015-07-12,242,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
580.0,2015-07-17,249,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
583.0,2015-05-15,158,2014-12-08,0.0,0.0,0.0,0.0,0.0,0.0
584.0,2015-03-10,120,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
587.0,2015-04-17,158,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
589.0,2015-04-08,62,2015-02-05,0.0,0.0,0.0,0.0,0.0,0.0
590.0,2015-03-10,97,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
591.0,2015-04-01,140,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
597.0,2015-07-19,188,2015-01-12,0.0,0.0,0.0,0.0,0.0,0.0
599.0,2015-01-22,71,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
601.0,2015-03-10,120,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
602.0,2015-08-13,188,2015-02-06,0.0,0.0,0.0,0.0,0.0,0.0
606.0,2015-06-15,68,2015-04-08,0.0,0.0,0.0,0.0,0.0,0.0
610.0,2015-03-14,66,2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0
611.0,2015-01-15,38,2014-12-08,0.0,0.0,0.0,0.0,0.0,0.0
612.0,2015-03-17,127,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
618.0,2015-04-12,128,2014-12-05,0.0,0.0,0.0,0.0,0.0,0.0
622.0,2015-06-15,158,2015-01-08,0.0,0.0,0.0,0.0,0.0,0.0
623.0,2015-04-15,129,2014-12-07,0.0,0.0,0.0,0.0,0.0,0.0
624.0,2015-06-26,114,2015-03-04,0.0,0.0,0.0,0.0,0.0,0.0
626.0,2015-05-11,182,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
630.0,2015-03-18,127,2014-11-11,0.0,0.0,0.0,0.0,0.0,0.0
631.0,2015-07-15,224,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
634.0,2015-06-16,189,2014-12-09,0.0,0.0,0.0,0.0,0.0,0.0
636.0,2015-08-12,184,2015-02-09,0.0,0.0,0.0,0.0,0.0,0.0
637.0,2015-08-13,250,2014-12-06,0.0,0.0,0.0,0.0,0.0,0.0
639.0,2015-03-20,127,2014-11-13,0.0,0.0,0.0,0.0,0.0,0.0
640.0,2015-04-01,140,2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0
641.0,2015-06-14,187,2014-12-09,0.0,0.0,0.0,0.0,0.0,0.0
643.0,2015-04-18,136,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
645.0,2015-05-16,96,2015-02-09,0.0,0.0,0.0,0.0,0.0,0.0
649.0,2015-03-17,127,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
650.0,2015-08-11,250,2014-12-04,0.0,0.0,0.0,0.0,0.0,0.0
651.0,2015-06-13,68,2015-04-06,0.0,0.0,0.0,0.0,0.0,0.0
655.0,2015-01-20,71,2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0
657.0,2015-03-20,66,2015-01-13,0.0,0.0,0.0,0.0,0.0,0.0
660.0,2015-01-10,38,2014-12-03,0.0,0.0,0.0,0.0,0.0,0.0
661.0,2015-06-19,38,2015-05-12,0.0,0.0,0.0,0.0,0.0,0.0
663.0,2015-06-15,13,2015-06-02,0.0,0.0,0.0,0.0,0.0,0.0
666.0,2015-04-16,66,2015-02-09,0.0,0.0,0.0,0.0,0.0,0.0
667.0,2015-01-16,38,2014-12-09,0.0,0.0,0.0,0.0,0.0,0.0
