"position","const","created","modified","description","Name","Known for","Birth date (month/day/year)"
        "34","nm0000011","Fri Apr 12 09:05:46 2013","Tue Jun 24 13:03:17 2014","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 1
Golden Globe Nominations: 2

Greatest Performances: 

""High Noon"" - Level of Difficulty - 4.7 Stars
""Sergeant York"" - Level of Difficulty - 4.7 Stars
""Mr. Deeds Goes to Town"" - Level of Difficulty - 4.6 Stars","Gary Cooper","Actor, <a href=""http://www.imdb.com/title/tt0044706"">High Noon</a>","1901-05-07"


        "35","nm0001715","Thu Nov 15 11:46:36 2012","Mon Aug 26 21:40:03 2013","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 3
Golden Globes: 2
Golden Globe Nominations: 5

Greatest Performances: 

""Patton"" - Level of Difficulty - 4.6 Stars
""The Hustler"" - Level of Difficulty - 4.7 Stars
""The Hospital"" - Level of Difficulty - 4.8 Stars","George C. Scott","Actor, <a href=""http://www.imdb.com/title/tt0057012"">Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb</a>","1927-10-18"


        "36","nm0001673","Thu Nov 15 11:59:10 2012","Mon Jul  1 09:44:50 2013","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations: 

Oscars: 2
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 5

Greatest Performances: 

""Julia"" - Level of Difficulty - 4.8 Stars
""Melvin and Howard"" - Level of Difficulty - 4.7 Stars
""All the President's Men"" - Level of Difficulty - 4.6 Stars","Jason Robards","Actor, <a href=""http://www.imdb.com/title/tt0064116"">Once Upon a Time in the West</a>","1922-07-26"


        "37","nm0000634","Wed Oct 30 12:24:00 2013","Wed Oct 30 12:47:06 2013","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 3
BAFTA Awards: 1
BAFTA Nominations: 4
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances: 

""Being There"" - Level of Difficulty - 4.7 Stars
""The Running, Jumping & Standing Still Film"" - Level of Difficulty - 4.6 Stars
""Doctor Strangelove or: How I Learned to Stop Worrying and Love the Bomb"" - Level of Difficulty - 4.8 Stars","Peter Sellers","Actor, <a href=""http://www.imdb.com/title/tt0057012"">Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb</a>","1925-09-08"


        "38","nm0000063","Wed Jun 22 23:34:14 2016","Thu Jul 21 06:57:19 2016","Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 5

Greatest Performances: 

""Lust for Life"" - Level of Difficulty - 4.7 Stars
""Viva Zapata!"" - Level of Difficulty - 4.9 Stars
""Alexis Zorbas"" - Level of Difficulty - 4.8 Stars","Anthony Quinn","Actor, <a href=""http://www.imdb.com/title/tt0056172"">Lawrence of Arabia</a>","1915-04-21"


        "39","nm0000122","Thu Nov 15 12:02:23 2012","Tue Jun 24 13:04:19 2014","Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 1 (Music)
Oscar Nominations: 4 (3 for Music/Writing)
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""City Lights"" - Level of Difficulty - 4.8 Stars
""Modern Times"" - Level of Difficulty - 4.7 Stars
""The Great Dictator"" - Level of Difficulty - 4.7 Stars","Charles Chaplin","Writer, <a href=""http://www.imdb.com/title/tt0027977"">Modern Times</a>","1889-04-16"


        "40","nm0000026","Fri Apr 12 09:01:32 2013","Mon Jul  8 09:39:23 2013","Acting Abilities: 

Acting Skill - 4.5 Stars 
Overall Versatility - 4.3 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 2
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 0
Golden Globe Nominations: 4

Greatest Performances: 

""Charade"" - Level of Difficulty - 4.4 Stars
""Penny Serenade"" - Level of Difficulty - 4.4 Stars
""Not But the Lonely Heart"" - Level of Difficulty - 4.5 Stars","Cary Grant","Actor, <a href=""http://www.imdb.com/title/tt0053125"">North by Northwest</a>","1904-01-18"


        "41","nm0000010","Fri Apr 12 09:05:31 2013","Tue Jun 24 13:04:33 2014","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""Love Me or Leave Me"" - Level of Difficulty - 4.6 Stars
""Yankee Doodle Dandy"" - Level of Difficulty - 4.8 Stars
""Angles with Dirty Faces"" - Level of Difficulty - 4.8 Stars","James Cagney","Actor, <a href=""http://www.imdb.com/title/tt0042041"">White Heat</a>","1899-07-17"


        "42","nm0000009","Mon Jul  8 09:37:46 2013","Thu Oct 31 20:46:37 2013","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 7
BAFTA Awards: 2
BAFTA Nominations: 4
Golden Globes: 2
Golden Globe Nominations: 7

Greatest Performances: 

""Equus"" - Level of Difficulty - 4.6 Stars
""My Cousin Rachel"" - Level of Difficulty - 4.7 Stars
""Who's Afraid of Virginia Woolf?"" - Level of Difficulty - 4.6 Stars","Richard Burton","Actor, <a href=""http://www.imdb.com/title/tt0061184"">Who's Afraid of Virginia Woolf?</a>","1925-11-10"


        "43","nm0002075","Thu Nov 15 11:55:44 2012","Mon Jul  1 09:48:42 2013","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 5
BAFTA Nominations: 7
Golden Globes: 1
Golden Globe Nominations: 2

Greatest Performances: 

""Network"" - Level of Difficulty - 4.8 Stars
""Sunday Bloody Sunday - Level of Difficulty - 4.6 Stars
""The Flight of the Phoenix"" - Level of Difficulty - 4.6 Stars","Peter Finch","Actor, <a href=""http://www.imdb.com/title/tt0074958"">Network</a>","1916-09-28"


        "44","nm0000044","Sat Jun 29 09:45:09 2013","Mon Aug 26 21:42:29 2013","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 2
BAFTA Nominations: 4
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances: 

""Atlantic City"" - Level of Difficulty - 4.6 Stars 
""Elmer Gantry"" - Level of Difficulty - 4.8 Stars
""From Here to Eternity"" - Level of Difficulty - 4.6 Stars","Burt Lancaster","Actor, <a href=""http://www.imdb.com/title/tt0045793"">From Here to Eternity</a>","1913-11-02"


        "45","nm0000020","Thu Nov 15 11:46:27 2012","Tue Jul 16 13:50:42 2013","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 2

Greatest Performances: 

""12 Angry Men"" - Level of Difficulty - 4.7 Stars
""On Golden Pond"" - Level of Difficulty - 4.6 Stars
""The Grapes of Wrath"" - Level of Difficulty - 4.6 Stars","Henry Fonda","Actor, <a href=""http://www.imdb.com/title/tt0064116"">Once Upon a Time in the West</a>","1905-05-16"


        "46","nm0000078","Thu Nov 15 11:57:46 2012","Tue Jun 24 13:05:22 2014","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.4 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 1
Golden Globe Nominations: 1

Greatest Performances: 

""True Grit"" - Level of Difficulty - 4.7 Stars
""The Alamo"" - Level of Difficulty - 4.7 Stars
""Sands of Iwo Jima"" - Level of Difficulty - 4.6 Stars","John Wayne","Actor, <a href=""http://www.imdb.com/title/tt0049730"">The Searchers</a>","1907-05-26"


        "47","nm0000027","Thu Nov 15 11:52:55 2012","Wed Jun  1 19:32:04 2016","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.6 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 5
BAFTA Awards: 3
BAFTA Nominations: 7
Golden Globes: 1
Golden Globe Nominations: 3

Greatest Performances: 

""Star Wars"" - Level of Difficulty - 4.2 Stars
""Little Dorrit"" - Level of Difficulty - 4.6 Stars
""The Bridge on the River Kwai"" - Level of Difficulty - 4.7 Stars","Alec Guinness","Actor, <a href=""http://www.imdb.com/title/tt0076759"">Star Wars: Episode IV - A New Hope</a>","1914-04-02"


        "48","nm0000034","Wed Oct 30 12:23:01 2013","Thu Oct 31 20:46:31 2013","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""Network"" - Level of Difficulty - 4.7 Stars
""Stalag 17"" - Level of Difficulty - 4.6 Stars
""Sunset Blvd."" - Level of Difficulty - 4.6 Stars","William Holden","Actor, <a href=""http://www.imdb.com/title/tt0050212"">The Bridge on the River Kwai</a>","1918-04-17"


        "49","nm0000125","Thu Nov 15 11:59:20 2012","Wed Jul 10 18:41:56 2013","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.4 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 1
BAFTA Awards: 1
BAFTA Nominations: 4
Golden Globes: 1
Golden Globe Nominations: 1

Greatest Performances: 

""The Untouchables"" - Level of Difficulty - 4.6 Stars
""The Russia House"" - Level of Difficulty - 4.7 Stars
""The Family Business"" - Level of Difficulty - 4.7 Stars","Sean Connery","Actor, <a href=""http://www.imdb.com/title/tt0055928"">Dr. No</a>","1930-08-25"


        "50","nm0001626","Thu Nov 15 11:51:23 2012","Tue Jun 24 13:05:52 2014","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.4 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 1
Golden Globes: 1
Golden Globe Nominations: 3

Greatest Performances: 

""Beginners"" - Level of Difficulty - 4.7 Stars
""The Last Station"" - Level of Difficulty - 4.7 Stars
""The Sound of Music"" - Level of Difficulty - 4.5 Stars","Christopher Plummer","Actor, <a href=""http://www.imdb.com/title/tt1049413"">Up</a>","1929-12-13"


        "51","nm0000273","Thu Nov 15 11:56:56 2012","Tue Jul  2 14:16:46 2013","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 1
BAFTA Nominations: 3
Golden Globes: 1
Golden Globe Nominations: 6

Greatest Performances: 

""Argo"" - Level of Difficulty - 4.6 Stars
""Little Miss Sunshine"" - Level of Difficulty - 4.7 Stars
""The Heart Is a Lonely Hunter"" - Level of Difficulty - 4.5 Stars","Alan Arkin","Actor, <a href=""http://www.imdb.com/title/tt1024648"">Argo</a>","1934-03-26"


        "52","nm0000686","Thu Nov 15 11:48:11 2012","Tue Jun 24 13:06:48 2014","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 1

Greatest Performances: 

""The Deer Hunter"" - Level of Difficulty - 4.8 Stars
""King of New York"" - Level of Difficulty - 4.6 Stars
""Catch Me If You Can"" - Level of Difficulty - 4.7 Stars","Christopher Walken","Actor, <a href=""http://www.imdb.com/title/tt0264464"">Catch Me If You Can</a>","1943-03-31"


        "53","nm0000140","Thu Nov 15 11:59:31 2012","Wed Jul 23 16:26:02 2014","Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 2 (1 for Producing )
Oscar Nominations: 2 (1 for Producing)
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 7

Greatest Performances: 

""Wall Street"" - Level of Difficulty - 4.7 Stars
""Wonder Boys"" - Level of Difficulty - 4.5 Stars
""Fatal Attraction"" - Level of Difficulty - 4.4 Stars","Michael Douglas","Actor, <a href=""http://www.imdb.com/title/tt0119174"">The Game</a>","1944-09-25"


        "54","nm0000582","Thu Nov 15 11:47:37 2012","Mon Oct 28 12:06:31 2013","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 1
Golden Globes: 0
Golden Globe Nominations: 2

Greatest Performances: 

""Casino"" - Level of Difficulty - 4.5 Stars
""Goodfellas"" - Level of Difficulty - 4.7 Stars
""Raging Bull"" - Level of Difficulty - 4.6 Stars","Joe Pesci","Actor, <a href=""http://www.imdb.com/title/tt0099685"">Goodfellas</a>","1943-02-09"


        "55","nm0005212","Thu Feb 14 14:18:05 2013","Fri May 23 21:27:38 2014","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 2
BAFTA Awards: 0
BAFTA Nominations: 4 (1 for Writing) 
Golden Globes: 1
Golden Globe Nominations: 3

Greatest Performances: 

""Richard III"" - Level of Difficulty - 4.6 Stars
""Gods and Monsters"" - Level of Difficulty - 4.6 Stars
""The Lord….Rings: Fellowship of…Ring"" - Level of Difficulty - 4.7 Stars","Ian McKellen","Actor, <a href=""http://www.imdb.com/title/tt0120737"">The Lord of the Rings: The Fellowship of the Ring</a>","1939-05-25"


        "56","nm0000685","Thu Nov 15 12:00:50 2012","Mon Oct 28 12:08:31 2013","Jon Voight came to prominence in the late 1960s with his performance as a would-be gigolo in Midnight Cowboy (1969). During the 1970s, he became a Hollywood star with his portrayals of a businessman in Deliverance (1972), and a paraplegic Vietnam veteran in Coming Home (1978).

Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 1
BAFTA Nominations: 1
Golden Globes: 3
Golden Globe Nominations: 9

Greatest Performances: 

""Coming Home"" - Level of Difficulty - 4.7 Stars
""Runaway Train"" - Level of Difficulty - 4.6 Stars
""Midnight Cowboy"" - Level of Difficulty - 4.6 Stars","Jon Voight","Actor, <a href=""http://www.imdb.com/title/tt0117060"">Mission: Impossible</a>","1938-12-29"


        "57","nm0001691","Thu Nov 15 11:52:22 2012","Fri May 23 21:21:09 2014","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 3
BAFTA Nominations: 5
Golden Globes: 2
Golden Globe Nominations: 5

Greatest Performances: 

""Shine"" - Level of Difficulty - 5 Stars
""Quills "" - Level of Difficulty - 4.8 Stars
""The King's Speech"" - Level of Difficulty - 4.5 Stars","Geoffrey Rush","Actor, <a href=""http://www.imdb.com/title/tt0325980"">Pirates of the Caribbean: The Curse of the Black Pearl</a>","1951-07-06"


        "58","nm0001215","Tue May 31 16:42:41 2016","Tue Jun 21 20:18:52 2016","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 5
BAFTA Awards: 2
BAFTA Nominations: 13
Golden Globes: 2
Golden Globe Nominations: 9

Greatest Performances:

""The Dresser"" - Level of Difficulty - 4.6 Stars
""Under the Volcano"" - Level of Difficulty - 4.6 Stars
""The Murder on the orient Express"" - Level of Difficulty - 4.7 Stars","Albert Finney","Actor, <a href=""http://www.imdb.com/title/tt0319061"">Big Fish</a>","1936-05-09"


        "59","nm0000460","Thu Nov 15 11:57:08 2012","Sat Sep 28 19:48:03 2013","Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 1
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 2
Golden Globe Nominations: 6

Greatest Performances: 

""Reversal of Fortune"" - Level of Difficulty - 4.8 Stars
""Brideshead Revisited"" - Level of Difficulty - 4.6 Stars
""The French……Woman"" - Level of Difficulty - 4.6 Stars","Jeremy Irons","Actor, <a href=""http://www.imdb.com/title/tt0110357"">The Lion King</a>","1948-09-19"


        "60","nm0000849","Thu Nov 15 12:04:59 2012","Fri May 23 21:23:36 2014","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 4

Greatest Performances: 

""Biutiful"" - Level of Difficulty - 4.8 Stars
""Before Night Falls"" - Level of Difficulty - 4.8 Stars
""No Country for Old Men"" - Level of Difficulty - 5 Stars","Javier Bardem","Actor, <a href=""http://www.imdb.com/title/tt0477348"">No Country for Old Men</a>","1969-03-01"


        "61","nm0005132","Thu Nov 15 11:47:09 2012","Tue Nov 26 14:40:17 2013","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 2

Greatest Performances: 

""Candy"" - Level of Difficulty - 4.5 Stars
""The Dark Knight"" - Level of Difficulty - 5 Stars
""Brokeback Mountain"" - Level of Difficulty - 4.7 Stars","Heath Ledger","Actor, <a href=""http://www.imdb.com/title/tt0468569"">The Dark Knight</a>","1979-04-04"


        "62","nm0910607","Mon Feb 25 14:42:12 2013","Fri Feb 20 14:58:17 2015","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 2
BAFTA Awards: 2
BAFTA Nominations: 2
Golden Globes: 2
Golden Globe Nominations: 2

Greatest Performances: 

""Carnage"" - Level of Difficulty - 4.6 Stars
""Django Unchained"" - Level of Difficulty - 4.8 Stars
""Inglourious Bastards"" - Level of Difficulty - 5 Stars","Christoph Waltz","Actor, <a href=""http://www.imdb.com/title/tt1853728"">Django Unchained</a>","1956-10-04"


        "63","nm0000136","Wed Nov 14 16:04:08 2012","Tue Nov  4 21:06:31 2014","Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 0
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 10

Greatest Performances:

""Ed Wood"" - Level of Difficulty - 5 Stars                  
""Donnie Brasco"" - Level of Difficulty - 4.8 Stars
""Edward Scissorhands"" - Level of Difficulty - 4.8 Stars","Johnny Depp","Actor, <a href=""http://www.imdb.com/title/tt0099487"">Edward Scissorhands</a>","1963-06-09"


        "64","nm0000146","Thu Nov 15 11:49:21 2012","Mon Feb 23 16:27:30 2015","Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 6
Golden Globes: 0
Golden Globe Nominations: 5

Greatest Performances: 

""Schindler's List"" - Level of Difficulty - 4.9 Stars
""The English Patient"" - Level of Difficulty - 4.8 Stars
""Harry Potter Series"" - Level of Difficulty - 4.7 Stars","Ralph Fiennes","Actor, <a href=""http://www.imdb.com/title/tt1201607"">Harry Potter and the Deathly Hallows: Part 2</a>","1962-12-22"


        "65","nm0004937","Thu Nov 15 11:54:27 2012","Tue Nov  4 21:08:02 2014","Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 3

Greatest Performances: 

""Ray"" - Level of Difficulty - 5 Stars
""Collateral"" - Level of Difficulty - 4.6 Stars
""Django Unchained"" - Level of Difficulty - 4.6 Stars","Jamie Foxx","Actor, <a href=""http://www.imdb.com/title/tt1853728"">Django Unchained</a>","1967-12-13"


        "66","nm0001618","Thu Nov 15 11:50:47 2012","Mon Feb 23 16:28:32 2015","Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 4.9 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 3
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances: 

""Her"" - Level of Difficulty - 4.9 Stars
""The Master"" - Level of Difficulty - 4.8 Stars
""Walk the Line"" - Level of Difficulty - 4.8 Stars","Joaquin Phoenix","Actor, <a href=""http://www.imdb.com/title/tt0172495"">Gladiator</a>","1974-10-28"


